Segment_Name,Nd143,La_Sm_N,Rb,Sr,La,Ce,Sm,Nd,Lu,Hf,U,Th,Pb
MARR230,0.512954347,0.640691947,1.45,119.15,3.36,10.855,3.39,9.67,0.517,2.07,0.044,0.1815,0.4155
CIRR1a,0.513041452,0.646237214,1.1295,115.81338,2.869222143,8.962487143,2.87,8.432054286,0.418211714,2.074388,0.038238256,0.12912862,0.5151336
CIRR25a,0.513118,0.646412411,1.2,109.8,2.66,8.09,2.66,7.69,0.41,1.96,0.048,0.162,0.363
CIRR36a,0.513089,0.649822378,1.341428571,116.83075,3.70673875,11.3927125,3.6872875,10.879225,0.555787875,2.8708825,0.058122156,0.181911889,0.502542667
MARR228,0.512908,0.652678877,1.372317354,108.1012013,3.337411149,10.03010488,3.305368176,9.369308193,0.460118439,2.154752997,0.054638975,0.195286251,0.502659199
MARR241,0.51298284,0.656118303,1.423333333,117.5,4.506666667,13.94333333,4.44,13.04,0.637,3,0.0505,0.197333333,0.942
BSCO6,0.51312946,0.656491607,2.31,115.32,3.908,11.88,3.848,11.052,0.521,3.198,0.078466667,0.217333333,0.6884
EPRR62,0.513124254,0.658908575,1.505,121.0784667,3.673444444,11.87955556,3.603777778,10.50144444,0.55,2.888285714,0.074,0.218625,0.498333333
AFAR14,0.513129,0.658923619,1.74,116.9,3.16,10.49,3.1,8.98,0.454,1.84,0.058,0.208,0.305
EPRR29,0.513172497,0.662525536,1.177018182,120.3997945,3.657109339,12.14057891,3.568165659,10.70174411,0.498043379,2.57036157,0.06442345,0.16241419,0.321016988
SEIR1,0.513130782,0.665807378,0.975428571,135.379,2.787962222,8.779133333,2.706748889,8.154822222,0.376030111,2.01219125,0.0382138,0.139454875,0.48402875
MARR37,0.513123056,0.668778926,1.44,71.25228571,2.370714286,6.979571429,2.291428571,6.286857143,0.443428571,1.445571429,0.064857143,0.162857143,0.333857143
MARR47,0.513184,0.669438723,1.326666667,78.6167,2.3171,6.6091,2.2374,6.1195,0.4255,1.7041,0.080375,0.129888889,0.3314
MARR165,0.513178,0.669609029,1.92,128.5,4.33,14.08,4.18,12.48,0.588,3.17,0.077,0.264,0.514
BMNS4,0.513084,0.67116316,3.33,105,2.088,5.823,2.011,5.443,0.398,1.482,0.274,0.155,0.806
EPRR63,0.513147,0.674267477,1.6454,108.9268,5.098111111,15.529,4.8875,14.1644,0.723111111,3.696,0.1134,0.405833333,0.532888889
MARR204,0.513,0.677715676,1,144.8,4.33,13.5,4.13,11.89,0.581,2.88,0.077,0.232,0.608
MARR240,0.512973708,0.679943891,0.912727273,116.0545455,2.986363636,9,2.839090909,8.257272727,0.4515,1.665,0.03425,0.318636364,0.43775
